Unnamed: 0,0,1,2,3,4
0.0,好电影，唯一的缺点就是节奏有点慢,2018-08-10,4.0,沈阳,RVU396546150
0.0,好看好看，最后一个彩蛋有徐峥，也是可以的精彩,2018-08-10,5.0,苏州,upM828683659
1.0,看到了张艺兴的演技 但是由于演员太多 时长又太长 还有剧本的硬伤 看的很累 作为黄渤的处女座是合格的,2018-08-10,3.5,沈阳,CGe352316158
14.0,一般般，没有多少喜剧部分。,2018-08-10,3.0,成都,miao562852708
8.0,不错值得推荐,2018-08-10,5.0,温岭,WWW411002490
9.0,黄渤导演牛逼！剧本写得真好！片名起的都显得很自信！魔幻现实主义题材，反乌托邦式的小社会，复杂的群相面目刻画，开场一段新闻广播让末世观念先入为主，特效不多但用在了刀刃上，用得极好！三大阵营和不同阶段的成王败寇极具观赏性，每一次反转都将剧情推向一个小高潮。张艺兴这个角色太出彩了，整部电影最佳，演员表演的也很nice，作为一个偶像演员值得夸奖。电影的细节也非常丰富，很值得深思，比如张艺兴后来带上了王迅（？）还是其他谁的手表，表明了地位的变化。彩票也是串联起前半段的重要线索，漫天的鱼尽显魔幻色彩。美中不足的是黄渤这个角色有点前后矛盾，在处理爱情和最后的反转时畏首畏尾、语无伦次，没有了之前的机智，差评。,2018-08-10,4.5,福州,幻羽川
10.0,给新导演一个支持吧,2018-08-10,5.0,连云港,qq1992109
11.0,讲述了对人性的一种考验，没有天生的恶也没有天生的善，从无到有，从有到无，人性随着时局的变化，从善变恶，又从恶变善，这种反复的过程不禁让人反思。看完这部电影让人既轻松又沉重，演员的演技都是一流的不用说，黄渤的第一部电影无疑是成功的，当小兴的人性反转时，全场沉默了，可能大家在此刻心里想的都是一样的吧。,2018-08-10,5.0,沈阳,_qq53x1348311482
12.0,冲着黄渤去的，额，，，额，，，额，，，剧情不咋样,2018-08-10,3.0,南京,RrS928253153
13.0,超级好看啊！夺走了小绵羊的银幕初吻 可恶 哈哈哈,2018-08-10,5.0,宁波,星野kiri
14.0,有笑点，有思考，第一次当导演，给渤哥一个赞！,2018-08-10,4.0,平湖,BGv487002134
6.0,一般一般一般,2018-08-10,3.0,罗源县,vpg965687821
7.0,只能说超级超级超级超级好看,2018-08-10,5.0,驻马店,一杯好酒Lady
8.0,"近几年有很多优秀的演员开始相继转型当导演，这不，黄渤就为我们自导自演了一出好戏。
黄渤是我很喜欢的实力派演员，在看预告时就对这部作品攒足了胃口，寄予了很高的期待。虽然影片也有些许不足之处，但故事整体干净利落，通俗易懂又妙趣横生，通过一个奇幻的遇险故事展露人性最真实的一面，但是又告诉人们善终能胜恶，并且也只有善才能真正的带来希望。第一次导电影就交出不错的作品值得鼓励👏。另外惊喜发现艺兴是一枚演技在线的小鲜肉，值得表扬👏。
大家可以走进电影院，看看在饥饿、生存、权利、利益这些驱使下，亲情、友情、爱情哪一种可以禁得住考验，看看食物链最顶端最聪明的人类是如何变回原始猴子，又如何从猴子重新变回人类的",2018-08-10,4.0,沈阳,小来福33
9.0,好看👍👍👍👍,2018-08-10,5.0,营山县,euk471803744
10.0,挺满意真的好看！,2018-08-10,5.0,济南,BUC329421512
11.0,有笑点有引发思考，值得看,2018-08-10,4.0,深圳,小水23
12.0,有笑点  有深度  值得一看,2018-08-10,5.0,东阳,二宁宇
13.0,太好了，加油,2018-08-10,4.5,长春,mfE736254233
14.0,"渤
哥
的
处
女
作
必
须
好
评",2018-08-10,5.0,长沙,东京木研
14.0,很好看！值得去看,2018-08-10,5.0,徐州,OTM391411722
14.0,很不错！很给力！,2018-08-10,5.0,广州,LwY194519632
14.0,有泪点有笑点也会让人思考一些事情，赞啊,2018-08-10,5.0,上海,悟空
11.0,不错不错 领着孩子看的 很有教育意义,2018-08-10,5.0,辛集,梦扬今琛
12.0,在介绍上这部电影是以剧情喜剧来定义的，一开始确实很搞笑但到了后面是真的笑不出来通过一些灾难来反应出人们真正的内心与人性，真的是会让人有些思考，的确很值得去看。同时演员的演技也值得点赞，影帝黄渤真的演的很好，艺兴真棒突破了自己，舒淇也演出了那种感觉，王宝强一如既往的搞笑。相比之下黄渤这部电影很值得去看，就有点像我不是药神一样以真情打动观众，我推荐一出好戏。,2018-08-10,5.0,南京,苏西同学
13.0,个人认为很好看，人物内心拍摄细致生动，反映了人性,2018-08-10,5.0,长春,Ylf435162439
14.0,只有一句话，好看,2018-08-10,5.0,民权,Waiting振哥
7.0,不错，值得一看,2018-08-10,5.0,深圳,CHENJIAYU11
8.0,演得挺有感觉  很社会,2018-08-10,5.0,仙居,茜阿喜
9.0,好看、果然值得等！,2018-08-10,5.0,南通,juan880209
10.0,旁边那朵祖国的花朵说五分最多了 看她一脸困倦勉强的份上我决定再扣一分,2018-08-10,2.0,无锡,bonjour223
11.0,很好看的电影，引发人思考,2018-08-10,4.5,赤壁,zwL378490846
12.0,电影不错，有心了，从奴隶社会到封建社会到资本主义社会，到社会主义社会，一步步来的,2018-08-10,4.0,南通,晓晓di蜗牛
13.0,前面很一般 后面好一点 7分给黄渤 宝强 和 舒淇的演技,2018-08-10,3.5,杭州,何嘉浩425
14.0,还行！！！！！！,2018-08-10,3.5,乐山,TDG634699992
9.0,很不错的电影,2018-08-10,5.0,枣庄,个人的旋律
10.0,不好看～ ~...,2018-08-10,1.0,宁波,yanyupenglai
11.0,非常非常赞，题材可能有点超现实，但剧情符合人的心态转变与发展，同时给人以思考，张艺兴的演技提升巨大，黄渤指导有方，最后半小时看的鸡皮疙瘩都起来了，最后不亏一出好戏！,2018-08-10,5.0,绍兴,Ecp991830299
12.0,非常好看！值得去看！,2018-08-10,5.0,石家庄,bEk18032099995
13.0,好看好看好看,2018-08-10,5.0,佛山,后七日
14.0,为女神苏淇看的,2018-08-10,5.0,自贡,Ashely126
14.0,很喜欢，很好看，单一情境下的无数出好戏！很精彩，黄渤演技当然没的说，张艺兴倒是超出预期！👍👍👍,2018-08-10,5.0,成都,阡陌百态
8.0,"全程无尿点，好看到什么程度呢？就是你抱着看喜剧的心情去，能把你看哭，跟药神那种泪点完全不一样，一出好戏不讲社会痛点，它讲人性。
个人总结：
1：社会有社会的生存法则，你想要玩转法则，那你得先有玩的转的能力，就像张总。
2：很多时候，你以为当下就是你这辈子无论如何都跨不过去的坎了，但是也许这正是你最好的机会。
3：很多东西，本身是真的，但是当大家都不信的时候，真的也是假的。
4：有很多时候，是我们自己主动愿意活在假的世界里，不愿意清醒过来，时间长了就分不清楚真假了。
5：很多人一辈子都在选择站队，但是从来没有想过要自己组队。
6：当你愿意去相信了，你相信的事情才有可能真的存在，反正你不愿意相信，",2018-08-10,5.0,杭州,saN436607394
9.0,没有预期的好看，总体来说一般吧。,2018-08-10,3.5,信阳,lemon你个orange
10.0,充满讽刺。。。,2018-08-10,4.5,宁波,七月十五日晴
11.0,[cp]本来为了当每个星星去的，不过一出好戏真的很值得看啊，感觉见证人类的文明发展，作为一个文科生，满脑子政治上的商品价值和市场价格，供求关系的知识点 ​​​[/cp],2018-08-10,5.0,杭州,懒骨头219
12.0,题材很棒，新鲜。,2018-08-10,4.5,荣昌区,杨益宇
13.0,比想象中好太多了，不愧是黄渤，推荐大家一定要去看,2018-08-10,5.0,深圳,tiffany4582
14.0,黄导果然没让我失望！今年看过最好看的电影了！,2018-08-10,5.0,睢宁,Wrd600505253
8.0,没想到黄渤居然拍了一出魔幻现实主义，故事相当好，但黄渤并没有被故事支配，十分自如的展现了自己的影像想法，作为处女作非常成熟。虽然片子也有些这样那样的遗憾，但该有的荒诞，该有的黑暗都成功地表达了出来，即便不带“演员跨界执导”的滤镜，这也是一年中排的上号的国产佳片。,2018-08-10,5.0,孝义,左岸笙歌1
9.0,还行吧，还行吧！,2018-08-10,3.5,嘉兴,稻草人Since
10.0,黄渤真的是强啊，演啥像啥不说。第一次当导演就能出手不凡，电影真的好看，情节不平庸。有反转，有黑化，揭示人性的黑暗，演员阵容本身就强大，再加上不俗的情节，真的不错。另外于和伟演的真是带感,2018-08-10,5.0,鞍山,浮Z生M若S梦
11.0,"墙裂推荐、真的太棒了！太棒了！太棒了！中国电影要崛起了！
黄渤是天才！！！希望以后可以多出好作品。
艺兴的眼神吓到了、演的很棒。",2018-08-10,5.0,青岛,胖胖的考拉酱
12.0,黄渤总是能给人带来惊喜，今年暑假又带来了一出好戏啊，张艺兴简直吊锤其他小鲜肉们，但是怎么说呢，也许是第一次当导演吧，感觉还是没放开，有种点到为止的感觉，其实人物情节可以更深刻一点，对人性的拷问可以更深层次，张艺兴这个角色可以往下挖， 个人觉得出第二部的话，张艺兴的角色很有搞头， 总之还不错了。,2018-08-10,3.5,黄石,半夏菌
13.0,神经病，乱七八糟,2018-08-10,0.5,南阳,背水居士
14.0,好看，感受就是在灾难来临之后要有希望，不管到了什么地步，人的善良不能丢，不能去触碰底线,2018-08-10,5.0,石家庄,Ycosmos
